group,original_balance,outstanding_principal_balance,remaining_term_months,original_term_months,interest_rate_pct
1,"412,000.00","405,884.57",350,360,3.990
2,"418,000.00","413,945.37",353,360,4.125
3,"3,576,000.00","3,530,681.31",353,360,4.250
4,"2,012,000.00","1,988,907.94",353,360,4.412
5,"25,122,000.00","24,237,721.84",352,360,4.500
6,"3,457,000.00","2,941,899.84",352,360,4.625
7,"19,864,000.00","19,620,607.87",352,360,4.752
8,"169,709,000.00","164,667,477.39",352,360,4.975
9,"4,778,000.00","4,728,813.91",352,360,5.012
10,"13,659,000.00","13,458,731.98",352,360,5.128
11,"92,953,000.00","90,303,804.58",351,360,5.253
12,"111,760,000.00","108,974,953.30",352,360,5.415
13,"110,158,000.00","108,233,661.76",351,360,5.510
14,"129,166,000.00","125,133,029.08",352,360,5.630
15,"187,842,000.00","183,573,673.41",351,359,5.764
16,"1,021,264,000.00","999,304,912.31",351,360,5.952
17,"358,860,000.00","351,899,207.20",351,360,6.044
18,"791,117,000.00","771,821,144.24",351,360,6.127
19,"703,199,000.00","683,490,646.67",351,360,6.266
20,"3,296,708,000.00","3,197,465,188.54",352,360,6.417
21,"3,068,128,000.00","2,969,133,118.58",352,360,6.520
22,"3,078,839,000.00","2,982,510,187.61",352,360,6.627
23,"2,209,127,000.00","2,134,927,363.32",352,360,6.761
24,"6,775,463,000.00","6,552,337,790.06",352,360,6.927
25,"729,526,000.00","703,920,068.30",352,360,7.013
26,"981,055,000.00","953,751,481.95",352,360,7.129
27,"1,002,451,000.00","978,392,654.76",352,360,7.257
28,"1,102,586,000.00","1,075,720,107.73",352,360,7.397
29,"546,212,000.00","533,560,644.43",351,360,7.505
30,"364,516,000.00","355,707,702.60",351,360,7.630
31,"218,072,000.00","212,751,897.63",352,360,7.759
32,"280,558,000.00","273,923,889.91",352,360,7.916
33,"34,591,000.00","34,274,291.31",352,360,8.017
34,"70,001,000.00","69,344,458.22",351,360,8.126
35,"6,958,000.00","6,859,502.88",351,360,8.255
36,"5,190,000.00","5,003,418.90",352,360,8.404
37,"2,772,000.00","2,752,909.23",351,360,8.500
38,"2,763,000.00","2,733,854.33",351,360,8.625
