table_name,page,class_group_as_printed,class,class_footnote,cpr_pct,date_or_month,pct_of_original_balance,wal_years
Declining Balances Tables,144,Class M-1,M-1,,0,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,5,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,10,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,15,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,25,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,35,Closing Date,100,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2027",96,
Declining Balances Tables,144,Class M-1,M-1,,5,"March 25, 2027",80,
Declining Balances Tables,144,Class M-1,M-1,,10,"March 25, 2027",64,
Declining Balances Tables,144,Class M-1,M-1,,15,"March 25, 2027",48,
Declining Balances Tables,144,Class M-1,M-1,,25,"March 25, 2027",17,
Declining Balances Tables,144,Class M-1,M-1,,35,"March 25, 2027",0,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2028",93,
Declining Balances Tables,144,Class M-1,M-1,,5,"March 25, 2028",63,
Declining Balances Tables,144,Class M-1,M-1,,10,"March 25, 2028",35,
Declining Balances Tables,144,Class M-1,M-1,,15,"March 25, 2028",9,
Declining Balances Tables,144,Class M-1,M-1,,25,"March 25, 2028",0,
Declining Balances Tables,144,Class M-1,M-1,,35,"March 25, 2028",0,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2029",89,
Declining Balances Tables,144,Class M-1,M-1,,5,"March 25, 2029",47,
Declining Balances Tables,144,Class M-1,M-1,,10,"March 25, 2029",9,
Declining Balances Tables,144,Class M-1,M-1,,15,"March 25, 2029",0,
Declining Balances Tables,144,Class M-1,M-1,,25,"March 25, 2029",0,
Declining Balances Tables,144,Class M-1,M-1,,35,"March 25, 2029",0,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2030",85,
Declining Balances Tables,144,Class M-1,M-1,,5,"March 25, 2030",31,
Declining Balances Tables,144,Class M-1,M-1,,10,"March 25, 2030",0,
Declining Balances Tables,144,Class M-1,M-1,,15,"March 25, 2030",0,
Declining Balances Tables,144,Class M-1,M-1,,25,"March 25, 2030",0,
Declining Balances Tables,144,Class M-1,M-1,,35,"March 25, 2030",0,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2031",80,
Declining Balances Tables,144,Class M-1,M-1,,5,"March 25, 2031",16,
Declining Balances Tables,144,Class M-1,M-1,,10,"March 25, 2031",0,
Declining Balances Tables,144,Class M-1,M-1,,15,"March 25, 2031",0,
Declining Balances Tables,144,Class M-1,M-1,,25,"March 25, 2031",0,
Declining Balances Tables,144,Class M-1,M-1,,35,"March 25, 2031",0,
Declining Balances Tables,144,Class M-1,M-1,,0,"March 25, 2032",75,
