table_name,page,class_group_as_printed,class,class_footnote,basis,early_redemption,cpr_pct,cer_pct,rm_pct,wal_years
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,0,0.00%,0.00%,9.79
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,5,0.00%,0.00%,2.93
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,10,0.00%,0.00%,1.59
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,15,0.00%,0.00%,1.07
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,25,0.00%,0.00%,0.62
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,35,0.00%,0.00%,0.42
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,0,0.00%,0.00%,4.55
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,5,0.00%,0.00%,2.83
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,10,0.00%,0.00%,1.59
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,15,0.00%,0.00%,1.07
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,25,0.00%,0.00%,0.62
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,35,0.00%,0.00%,0.42
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,0,0.25%,0.00%,18.46
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,5,0.25%,0.00%,4.32
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,10,0.25%,0.00%,1.98
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,15,0.25%,0.00%,1.26
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,25,0.25%,0.00%,0.70
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,35,0.25%,0.00%,0.49
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,0,0.25%,0.00%,5.00
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,5,0.25%,0.00%,3.48
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,10,0.25%,0.00%,1.98
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,15,0.25%,0.00%,1.26
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,25,0.25%,0.00%,0.70
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,35,0.25%,0.00%,0.49
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,0,0.50%,0.00%,19.91
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,5,0.50%,0.00%,7.68
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,10,0.50%,0.00%,2.63
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,15,0.50%,0.00%,1.53
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,25,0.50%,0.00%,0.87
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,35,0.50%,0.00%,0.51
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,0,0.50%,0.00%,5.00
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,5,0.50%,0.00%,4.16
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,10,0.50%,0.00%,2.60
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,15,0.50%,0.00%,1.53
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,25,0.50%,0.00%,0.87
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,35,0.50%,0.00%,0.51
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,0,1.00%,0.00%,11.40
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,5,1.00%,0.00%,17.15
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,10,1.00%,0.00%,13.30
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,15,1.00%,0.00%,6.69
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,25,1.00%,0.00%,3.52
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,35,1.00%,0.00%,1.97
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,0,1.00%,0.00%,5.00
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,5,1.00%,0.00%,4.87
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,10,1.00%,0.00%,4.74
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,15,1.00%,0.00%,4.60
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,25,1.00%,0.00%,3.49
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,35,1.00%,0.00%,1.97
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,0,1.50%,0.00%,7.27
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,5,1.50%,0.00%,9.13
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,10,1.50%,0.00%,14.74
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,15,1.50%,0.00%,10.10
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,25,1.50%,0.00%,3.68
Weighted Average Life Tables,141,Class M-1,M-1,,To Scheduled Maturity Date,no,35,1.50%,0.00%,2.39
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,0,1.50%,0.00%,5.00
Weighted Average Life Tables,141,Class M-1,M-1,,To Early Redemption Date,yes,5,1.50%,0.00%,4.87
