group,original_balance,outstanding_principal_balance,remaining_term_months,original_term_months,interest_rate_pct
1,"2,691,000.00","2,641,086.61",350,360,4.972
2,"643,000.00","607,625.79",301,311,5.097
3,"10,276,000.00","10,016,392.46",341,352,5.149
4,"49,434,000.00","46,992,926.01",349,360,5.254
5,"81,945,000.00","79,734,174.30",349,359,5.403
6,"95,552,000.00","92,065,890.52",349,359,5.503
7,"147,215,000.00","142,918,712.59",347,358,5.630
8,"168,835,000.00","163,911,958.57",347,358,5.765
9,"1,065,670,000.00","1,035,150,229.27",348,359,5.949
10,"340,656,000.00","329,985,571.99",348,359,6.045
11,"800,694,000.00","776,654,501.66",348,359,6.127
12,"536,052,000.00","519,164,971.60",348,359,6.266
13,"2,090,604,000.00","2,020,758,105.24",349,360,6.419
14,"2,139,310,000.00","2,066,036,030.81",349,360,6.523
15,"2,336,164,000.00","2,263,238,996.07",349,360,6.626
16,"1,398,796,000.00","1,348,528,935.56",350,360,6.761
17,"5,916,965,000.00","5,703,897,138.22",350,360,6.933
18,"801,623,000.00","774,055,114.04",350,360,7.014
19,"1,365,721,000.00","1,316,888,274.56",350,360,7.128
20,"1,022,117,000.00","990,039,825.45",350,360,7.259
21,"1,291,754,000.00","1,255,642,538.71",350,360,7.395
22,"656,705,000.00","639,145,442.34",350,360,7.505
23,"459,621,000.00","449,463,662.63",350,360,7.629
24,"236,677,000.00","230,801,699.75",350,360,7.760
25,"340,922,000.00","332,139,358.42",350,360,7.922
26,"64,056,000.00","62,057,884.78",350,360,8.026
27,"104,310,000.00","102,404,403.88",350,360,8.125
28,"6,981,000.00","6,462,987.74",350,360,8.250
29,"9,775,000.00","9,684,432.02",347,358,8.429
30,"3,211,000.00","3,095,849.20",350,360,8.500
31,"7,117,000.00","6,966,831.05",347,357,8.625
