payment_period,class_a1_reference_tranche_portion_usd,class_a1_reference_tranche_portion_pct,class_a1h_reference_tranche_portion_usd,class_a1h_reference_tranche_portion_pct,aggregate_class_a1_reduction_amount_usd_computed
1,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
2,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
3,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
4,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
5,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
6,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
7,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
8,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
9,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
10,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
11,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
12,"10,346,250.00",3.750,"545,988.08",3.750,10892238.08
13,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
14,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
15,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
16,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
17,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
18,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
19,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
20,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
21,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
22,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
23,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
24,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
25,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
26,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
27,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
28,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
29,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
30,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
31,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
32,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
33,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
34,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
35,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
36,"4,138,500.00",1.500,"218,395.23",1.500,4356895.23
