table_name,page,table_title,basis,early_redemption,cpr_pct,cer_pct,cumulative_credit_event_amount_pct_of_cutoff_balance
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,0.25%,4.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,0.25%,2.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,0.25%,1.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,0.25%,1.4%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,0.25%,0.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,0.25%,0.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,0.50%,7.9%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,0.50%,5.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,0.50%,3.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,0.50%,2.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,0.50%,1.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,0.50%,1.1%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,1.00%,15.1%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,1.00%,10.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,1.00%,7.1%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,1.00%,5.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,1.00%,3.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,1.00%,2.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,1.50%,21.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,1.50%,14.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,1.50%,10.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,1.50%,7.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,1.50%,4.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,1.50%,3.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,2.50%,33.4%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,2.50%,22.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,2.50%,16.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,2.50%,12.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,2.50%,7.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,2.50%,5.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,3.00%,38.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,3.00%,26.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,3.00%,19.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,3.00%,14.4%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,3.00%,9.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,3.00%,6.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,0,5.00%,55.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,5,5.00%,38.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,10,5.00%,28.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,15,5.00%,22.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,25,5.00%,14.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Scheduled Maturity Date,no,35,5.00%,10.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,35,0.00%,0.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,0.25%,1.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,0.25%,1.1%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,0.25%,1.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,0.25%,0.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,0.25%,0.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,35,0.25%,0.5%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,0.50%,2.4%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,0.50%,2.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,0.50%,1.9%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,0.50%,1.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,0.50%,1.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,35,0.50%,1.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,1.00%,4.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,1.00%,4.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,1.00%,3.8%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,1.00%,3.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,1.00%,2.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,35,1.00%,2.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,1.50%,7.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,1.50%,6.3%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,1.50%,5.6%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,1.50%,5.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,1.50%,3.9%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,35,1.50%,3.0%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,0,2.50%,11.7%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,5,2.50%,10.4%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,10,2.50%,9.2%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,15,2.50%,8.1%
Credit Event Sensitivity Tables,146,Cumulative Credit Event Amount (as % of Reference Pool Cut-off Date Balance),to Early Redemption Date,yes,25,2.50%,6.4%
