table_name,page,class_group_as_printed,class,class_footnote,cpr_pct,date_or_month,pct_of_original_balance,wal_years
Declining Balances Tables,141,Class A-1,A-1,,0,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,5,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,10,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,15,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,25,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,35,Closing Date,100,
Declining Balances Tables,141,Class A-1,A-1,,0,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,5,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,10,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,15,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,25,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,35,"February 25, 2027",55,
Declining Balances Tables,141,Class A-1,A-1,,0,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,5,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,10,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,15,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,25,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,35,"February 25, 2028",37,
Declining Balances Tables,141,Class A-1,A-1,,0,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,5,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,10,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,15,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,25,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,35,"February 25, 2029",19,
Declining Balances Tables,141,Class A-1,A-1,,0,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,5,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,10,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,15,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,25,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,35,"February 25, 2030 and thereafter",0,
Declining Balances Tables,141,Class A-1,A-1,,0,Weighted Average Life (years) to Scheduled Maturity Date,,1.60
Declining Balances Tables,141,Class A-1,A-1,,5,Weighted Average Life (years) to Scheduled Maturity Date,,1.59
Declining Balances Tables,141,Class A-1,A-1,,10,Weighted Average Life (years) to Scheduled Maturity Date,,1.59
Declining Balances Tables,141,Class A-1,A-1,,15,Weighted Average Life (years) to Scheduled Maturity Date,,1.59
Declining Balances Tables,141,Class A-1,A-1,,25,Weighted Average Life (years) to Scheduled Maturity Date,,1.59
Declining Balances Tables,141,Class A-1,A-1,,35,Weighted Average Life (years) to Scheduled Maturity Date,,1.59
Declining Balances Tables,141,Class A-1,A-1,,0,Weighted Average Life (years) to Early Redemption Date**,,1.60
Declining Balances Tables,141,Class A-1,A-1,,5,Weighted Average Life (years) to Early Redemption Date**,,1.59
Declining Balances Tables,141,Class A-1,A-1,,10,Weighted Average Life (years) to Early Redemption Date**,,1.59
Declining Balances Tables,141,Class A-1,A-1,,15,Weighted Average Life (years) to Early Redemption Date**,,1.59
Declining Balances Tables,141,Class A-1,A-1,,25,Weighted Average Life (years) to Early Redemption Date**,,1.59
Declining Balances Tables,141,Class A-1,A-1,,35,Weighted Average Life (years) to Early Redemption Date**,,1.59
Declining Balances Tables,142,Class M-1,M-1,,0,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,5,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,10,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,15,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,25,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,35,Closing Date,100,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2027",97,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2027",82,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2027",67,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2027",53,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2027",23,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2027",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2028",93,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2028",66,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2028",40,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2028",16,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2028",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2028",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2029",90,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2029",51,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2029",16,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2029",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2029",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2029",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2030",86,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2030",36,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2030",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2030",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2030",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2030",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2031",82,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2031",22,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2031",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2031",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2031",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2031",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2032",77,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2032",9,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2032",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2032",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2032",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2032",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2033",72,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2033",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2033",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2033",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2033",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2033",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2034",67,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2034",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2034",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2034",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2034",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2034",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2035",62,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2035",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2035",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2035",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2035",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2035",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2036",56,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2036",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2036",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2036",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2036",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2036",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2037",50,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2037",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2037",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2037",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2037",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2037",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2038",43,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2038",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2038",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2038",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2038",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2038",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2039",36,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2039",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2039",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2039",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2039",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2039",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2040",29,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2040",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2040",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2040",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2040",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2040",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2041",21,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2041",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2041",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2041",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2041",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2041",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2042",12,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2042",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2042",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2042",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2042",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2042",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2043",3,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2043",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2043",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2043",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2043",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2043",0,
Declining Balances Tables,142,Class M-1,M-1,,0,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,5,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,10,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,15,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,25,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,35,"February 25, 2044 and thereafter",0,
Declining Balances Tables,142,Class M-1,M-1,,0,Weighted Average Life (years) to Scheduled Maturity Date,,10.31
Declining Balances Tables,142,Class M-1,M-1,,5,Weighted Average Life (years) to Scheduled Maturity Date,,3.20
Declining Balances Tables,142,Class M-1,M-1,,10,Weighted Average Life (years) to Scheduled Maturity Date,,1.75
Declining Balances Tables,142,Class M-1,M-1,,15,Weighted Average Life (years) to Scheduled Maturity Date,,1.18
Declining Balances Tables,142,Class M-1,M-1,,25,Weighted Average Life (years) to Scheduled Maturity Date,,0.68
Declining Balances Tables,142,Class M-1,M-1,,35,Weighted Average Life (years) to Scheduled Maturity Date,,0.46
Declining Balances Tables,142,Class M-1,M-1,,0,Weighted Average Life (years) to Early Redemption Date**,,4.59
Declining Balances Tables,142,Class M-1,M-1,,5,Weighted Average Life (years) to Early Redemption Date**,,3.00
Declining Balances Tables,142,Class M-1,M-1,,10,Weighted Average Life (years) to Early Redemption Date**,,1.75
Declining Balances Tables,142,Class M-1,M-1,,15,Weighted Average Life (years) to Early Redemption Date**,,1.18
Declining Balances Tables,142,Class M-1,M-1,,25,Weighted Average Life (years) to Early Redemption Date**,,0.68
Declining Balances Tables,142,Class M-1,M-1,,35,Weighted Average Life (years) to Early Redemption Date**,,0.46
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2,,35,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2R,,35,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2S,,35,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2T,,35,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2U,,35,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,0,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,5,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,10,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,15,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,25,Closing Date,100,
Declining Balances Tables,143,"Class M-2, M-2R, M-2S, M-2T, M-2U and M-2I",M-2I,,35,Closing Date,100,
