table_name,page,class_group_as_printed,class,class_footnote,basis,early_redemption,cpr_pct,cer_pct,rm_pct,wal_years
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,0,0.00%,0.00%,1.60
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,5,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,10,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,15,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,25,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,35,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,0,0.00%,0.00%,1.60
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,5,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,10,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,15,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,25,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,35,0.00%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,0,0.25%,0.00%,1.60
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,5,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,10,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,15,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,25,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,35,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,0,0.25%,0.00%,1.60
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,5,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,10,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,15,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,25,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Early Redemption Date,yes,35,0.25%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,0,0.50%,0.00%,1.60
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,5,0.50%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,10,0.50%,0.00%,1.59
Weighted Average Life Tables,139,Class A-1,A-1,,To Scheduled Maturity Date,no,15,0.50%,0.00%,1.59
